County,SpeciesName,SpeciesCode,SpeciesCategory,SpeciesType,SpeciesGraphUrl,Link,Phenology,BreedAbundance,MigAbundance,WinterAbundance,YearAbundance,WeeksDetected,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53
Chatham,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-037&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-037&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,possible,unlikely,possible,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,6,6,6,6,6,7,7,7,6,6,6,5,5,5,4,4,4,4,3,2,1,0,1,0,0,0,0,0,0,0,0,,,,,
Cherokee,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-039&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-039&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,4,5,3,3,3,3,3,3,0,0,0,3,4,4,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Chowan,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-041&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-041&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,5,5,5,6,6,5,4,3,0,4,5,3,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Clay,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-043&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-043&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,unlikely,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,6,5,4,4,0,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Cleveland,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-045&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-045&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,4,4,4,3,3,0,3,3,0,3,3,0,0,0,3,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,,,,,
Columbus,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-047&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-047&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,5,5,4,4,3,5,5,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Craven,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-049&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-049&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,possible,unlikely,possible,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,5,5,5,5,4,5,5,3,3,3,3,3,3,3,3,2,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,
Cumberland,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-051&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-051&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,possible,unlikely,possible,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,0,2,0,0,0,0,0,0,0,0,0,0,,,,,
Currituck,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-053&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-053&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Occasional,unlikely,unlikely,unlikely,unlikely,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Dare,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-055&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-055&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,unlikely,unlikely,unlikely,unlikely,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,
Davidson,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-057&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-057&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,4,3,5,4,4,5,4,5,5,4,3,0,4,0,4,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Davie,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-059&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-059&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,possible,unlikely,possible,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,5,5,5,5,6,3,4,4,4,3,0,0,0,3,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,,,,,
Duplin,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-061&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-061&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,unlikely,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,5,5,6,0,4,1,0,0,5,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Durham,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-063&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-063&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,possible,unlikely,possible,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,,,,,
Edgecombe,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-065&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-065&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,5,4,5,4,4,4,4,4,0,4,3,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Forsyth,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-067&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-067&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,possible,unlikely,possible,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,5,5,4,3,3,2,0,0,0,0,0,0,0,0,0,0,,,,,
Franklin,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-069&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-069&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,7,7,6,7,6,6,7,7,7,6,5,5,3,3,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Gaston,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-071&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-071&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,3,4,5,5,4,3,4,3,0,3,3,4,4,3,2,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Gates,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-073&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-073&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,6,6,8,7,8,8,6,7,7,6,5,5,5,6,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Graham,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-075&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-075&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,5,6,5,6,6,6,5,4,3,3,4,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Granville,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-077&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-077&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,possible,unlikely,possible,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,8,8,8,8,8,8,8,7,7,8,7,7,7,6,5,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Greene,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-079&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-079&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,5,5,4,4,4,6,7,0,5,4,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Guilford,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-081&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-081&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,possible,unlikely,possible,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,0,0,0,2,0,0,0,0,0,0,0,,,,,
Halifax,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-083&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-083&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,6,8,8,6,5,6,8,6,6,8,6,8,5,4,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Harnett,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-085&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-085&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,5,5,5,6,5,6,5,5,5,5,4,5,4,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Haywood,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-087&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-087&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,4,4,4,4,3,3,4,3,3,3,2,3,3,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Henderson,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-089&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-089&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,possible,unlikely,possible,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,4,4,3,3,3,3,2,3,2,2,0,3,3,3,4,3,2,2,0,0,0,0,0,0,0,0,0,0,,,,,
Hertford,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-091&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-091&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,0,3,6,6,5,7,5,5,0,5,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Hoke,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-093&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-093&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,possible,unlikely,possible,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,0,4,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Hyde,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-095&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-095&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,unlikely,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,3,3,3,3,2,3,2,3,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Iredell,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-097&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-097&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,3,3,3,5,4,4,3,4,3,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jackson,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-099&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-099&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,4,4,3,3,4,4,4,3,3,1,0,2,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Johnston,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-101&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-101&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,possible,unlikely,possible,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,6,6,6,5,5,5,5,5,5,5,4,4,5,4,3,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jones,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-103&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-103&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,possible,unlikely,possible,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,6,6,6,5,7,5,5,5,9,5,5,0,4,4,5,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lee,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-105&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-105&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,5,6,6,5,6,6,4,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
