ID_NCBA_BLOCK,ID_BLOCK_CODE,STATUS,surveyYear,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTTOM-SE,36080D7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOUNTS_BAY-SE,35076D8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONNETSVILLE-SE,34078H4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT_CROGHAN-NW,34080G2NW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAPAHOE-SE,35076A7SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHEBORO-SE,35079F7SE,Complete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHLEHEM-SE,35081G3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARNARDSVILLE-SE,35082G4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOMER-SE,36081A3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANSONVILLE-SE,35080A1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHEVILLE-SE,35082E5SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAINWRIGHT_ISLAND-CW,34076H2CW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATKINSON-SE,34078E2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTRYVILLE-SE,34078H6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYDEN-SE,35077D4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALD_CREEK-SE,35082H4SE,Complete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORVEN_WEST-NW,34080G1NW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYBORO-SE,35076B7SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-CW,34076F6CW,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN_GAP-SE,36081D6SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHFORD-SE,35081G8SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLIVE_BRANCH-SE,35080A3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
AULANDER-SE,36077B1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAKERS-SE,35080A5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAILEY-SE,35078G1SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHANY-SE,36079C7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYLEAF-SE,35078H6SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESSEMER_CITY-SE,35081C3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANOAK-SE,35081E4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEULAVILLE-SE,34077H7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACK_MOUNTAIN-SE,35082E3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOILING_SPRINGS_NORTH-SE,35081C6SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAKBORO-SE,35080B3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIG_RIDGE-SE,35083B1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOONE-SE,36081B6SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKSBURG_NORTH-NW,35081B5NW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRACEY-SE,36078E2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROAD_CREEK-CW,35076A5CW,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLKTON-SE,35080A2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGAW-SE,34077E8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNCHES_BALD-SE,35083E2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELMONT-CW,35081B1CW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELEWS_LAKE-SE,36080C1SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAR_CREEK-SE,35079E4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENN_KNOB-SE,35081E6SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELHAVEN-SE,35076E5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUFF_POINT-NW,35076C2NW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOILING_SPRINGS_SOUTH-NW,35081B6NW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURLINGTON_NE-SE,36079B3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNN_EAST-SE,35078H2SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURNSVILLE-SE,35082H3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALABASH-SE,33078H5SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPE_LOOKOUT-NE,34076E5NE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLIVIA-SE,34078A2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREVARD-SE,35082B6SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOYKINS-SE,36077E2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROWNS_INLET-NW,34077E2NW,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKS_CROSSROADS-SE,36080A7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY-SE,35079D1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROSVILLE-SE,o36079E5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNN_WEST-SE,35078H3SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUFFALO_COVE-SE,36081A5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADES_COVE-SE,35083E7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYNUM-SE,35079G2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURLINGTON-SE,36079A4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNYAN-SE,35076E8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNNLEVEL-SE,35078C7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALAHALN-SE,35080H6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANA-SE,36080E6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRYSON_CITY-SE,35083D4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUFFALO_CITY-SE,35075G8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUXTON-SE,35075C5SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMDEN_POINT-CW,36075B8CW,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTHAGE-SE,35079C4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAROLINA_BEACH-SE,34077A8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASHIERS-CW,35083A1CW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHESTNUT_MOUNTAIN-SE,35081H7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATFISH_LAKE-SE,34077H1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_EAST-SE,35080B7SE,Complete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHERRY_POINT-SE,34076H7SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARVERS_GAP-SE,36082A1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALDWELL-SE,36079B1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAROLINA_BEACH_OE_E-NW,34077A7NW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANDOR-SE,35079C6SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPE_FEAR-NW,33077G8NW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLE_HAYNE-SE,34077C8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARITY-SE,34077G8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHERRYVILLE-SE,35081D4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERRO_GORDO-SE,34078C8SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPE_HATTERAS-NW,35075B5NW,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANTON-SE,35082E7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARY-SE,35078G7SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMP_LEJEUNE-SE,34077F3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELO-SE,35082G2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAPEL_HILL-SE,35079H1SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDAR_GROVE-SE,36079B2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHERRY_GROVE-SE,36079C4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHADBOURN_NE-SE,34078D7SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTER_HILL-SE,36076B5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHESNEE-NW,35081B7NW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAWBA-SE,35081F1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL-SE,35080H8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCHLAND-SE,35080G4SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAYTON-SE,35078F4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSELLVILLE-SE,34080H2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARKTON-SE,34078D6SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASAR-SE,35081E5SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTALIA-SE,36078A1SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHERINE_LAKE-SE,34077G5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDAR_CREEK-SE,34078H7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTERVILLE-SE,36078B1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHADBOURN-SE,34078C7SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_WEST-SE,35080B8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAPANOKE-SE,36076C4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINQUAPIN-SE,34077G7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAUDVILLE-SE,36080E4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARKSVILLE_SOUTH-SE,o36078E5SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA_GROVE-SE,35080E5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLINGMANS_DOME-SE,35083E4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLINTON_SOUTH-SE,34078H3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
COKESBURY-SE,35078E8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMFORT-SE,35077A5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLERAIN-SE,36076B7SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBIA_WEST-SE,35076H3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLETTSVILLE-SE,35081H6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCORD-SE,35080D5SE,Complete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARESVILLE-SE,36077E4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHESTOA-SE,36082A4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEMMONS-SE,36080A4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIFDALE-SE,35079A1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLUSTER_SPRINGS-SE,36078E8SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCORD_SE-SE,35080C5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
COINJOCK-SE,36075C8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLINTON_NORTH-SE,35078A3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIMAX-SE,35079H6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIFFIELD_MOUNTAIN-SE,35082C3SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLYDE-SE,35082E8SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
COATS-SE,35078D6SE,Complete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBIA_EAST-SE,35076H2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORBIN_KNOB-SE,35083B3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONETOE-SE,35077G4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILTON-SE,o36079E2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANBURY-SE,36080D2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREEDS-SE,36076E1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURRITUCK-SE,36076D1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND_KNOB-SE,36080E8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURRIE-SE,34078D1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVE_CITY-SE,35077B3SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVE_CREEK_GAP-SE,35083F1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUSO-SE,35082D7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEEP_RUN-SE,35077B6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEEP_GAP-SE,36081B5SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLON-SE,35079E2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
RINGGOLD-SE,o36079E3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPELAND-SE,36080C6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONWAY-SE,36077D2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOLEEMEE-SE,35080G5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORAPEAKE-SE,36076E5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORE_CREEK-SE,34076G6SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRESWELL_SE-SE,35076G3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELWAY-SE,34078G2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENTON_NW-SE,35080F2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST_LAKE-SE,35075H8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFLAND-SE,36079A2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTATOE_GAP-NW,35082A7NW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDWARD-SE,35076C8SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENHOUSE-CW,36076A6CW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST_BEND-SE,36080B5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLENDALE-SE,35081H3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELKIN_SOUTH-SE,36080B7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLISBORO-SE,36079C8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER-SE,35081E1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOBBERSVILLE-SE,35078B2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERITA-SE,35080C7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENTON-SE,36076A5SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOVER-SE,35077B4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUART-SE,34078G7SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAUGHN-SE,36077A5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREXEL-SE,35081G5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNN-SE,35078C5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGELHARD_EAST-CW,35075E8CW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLERBE-SE,35079A7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORNELIUS-SE,35080D7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTIN-SE,34078E1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAGGY_PINNACLE-SE,35082F4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNCIL-SE,34078D4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREEDMOOR-SE,36078A6SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRESWELL-SE,35076G4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENNETT-SE,35079E5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVIS-SE,34076G4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLERIDGE-SE,35079F5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUTCHFIELD_CROSSROADS-SE,35079G4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELLWOOD-SE,35083E1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAKE-SE,36077A7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN-SE,34078F6SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNSMORE_MOUNTAIN-SE,35082D6SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELIZABETHTOWN_SOUTH-SE,34078E5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST_LAKE_SE-SE,35075G7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANVILLE-SE,o36079E4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROLLA-CW,36075D7CW,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOBSON-SE,36080D6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENTON-SE,35080F1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIGGS-NW,34079G7NW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILER_CITY-SE,35079F4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYSARTSVILLE-SE,35081E7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDMONDSON-SE,35078E5SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELIZABETH_CITY-SE,36076C2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELK_PARK-SE,36081B8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENFIELD-SE,36077B6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMERSON-SE,34078D5SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELM_CITY-SE,35077G7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGELHARD_NE-SE,35075F7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRYING_PAN-SE,35076G1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMER-SE,35079F8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERWIN-SE,35078C6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIR_BLUFF-NW,34079C1NW,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMLIFE-SE,35076F8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOUNTAIN-SE,35077F6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXUM-SE,34078A4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAISON-SE,35078A2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIRFIELD_NE-SE,35076F1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
